codigo,nome
"11","Teatro"
"12","Dança"
"13","Circo"
"14","Ópera"
"15","Mímica"
"16","Ópera Rock"
"17","Ações de capacitação e treinamento de pessoal"
"18","Teatro de formas animadas"
"19","Teatro de mamulengos"
"1A","Teatro de  bonecos e congêneres"
"1B","Desfile de  escola de samba"
"1C","Desfile de bloco carnavalesco"
"1D","Desfile de  cortejo da cultura popular "
"1E","Construção de salas de teatro munic(< 100 mil hab)"
"1F","Construção de centros comunit.Munic(< 100 mil hab)"
"1G","Manutenção de salas de teatro Munic(< 100 mil hab)"
"1H","Manutenção de centros comunit.Munic(< 100 mil hab)"
"1I","Teatro musical"
"21","Jogos eletrônicos"
"22","Videofonográfica"
"23","Produção Cinematográfica de curta metragem"
"24","Rádio/Tvs Educativa"
"25","Multimídia"
"26","Produção Cinematográfica de média metragem"
"27","Formação /Pesquisa/Informação"
"28","Exibição Cinematográfica"
"29","Infra-estrutura Técnica Audiovisual"
"2A","Produção Videofonográfica de curta metragem"
"2B","Produção Videofonográfica de média metragem"
"2C","Formação Audiovisual"
"2D","Pesquisa Audiovisual"
"2E","Doação de acervos audiovisuais"
"2F","Construção de salas de cinema (< 100 mil hab)"
"2G","Manutenção de salas de cinema (< 100 mil hab)"
"2H","Constr. centro comunitário c/sala cinema(<100 mil)"
"2I","Manut. centro comunitário c/sala cinema(<100 mil)"
"2J","Difusão de acervo audiovisual"
"2K","Preservação de acervos audiovisuais"
"2L","Restauração de acervos audiovisuais"
"2M","Produção de web série"
"2O","Rádios e TVs Educativas não comerciais"
"2P","Projetos Audiovisuais Transmidiáticos"
"2Q","Aquisi. equipamentos p/manut.-acervos audiovisuais"
"2R","Produção de conteúdo audiovisual de curta metragem"
"2S","Produção de conteúdo audiovisual de média metragem"
"2T","Difusão de acervo e conteúdo audiovisual"
"31","Música Popular Cantada"
"32","Música Erudita"
"33","Música Instrumental"
"34","Áreas Integradas"
"35","Orquestra"
"36","Doações de Acervos Musicais"
"37","Canto Coral"
"38","Ações de capacitação e treinamento de pessoal"
"41","Plásticas"
"42","Gráficas"
"43","Filatelia"
"44","Gravura"
"45","Cartazes"
"46","Fotografia"
"47","Exposição Itinerante"
"48","Design"
"49","Artes Plásticas"
"4A","Artes Gráficas"
"4B","Exposição de Artes Visuais"
"4C","Moda"
"4D","Doações de Acervos de Artes Visuais"
"4E","Formação técnica e artística de profissionais"
"4F","Projeto educativo de artes visuais"
"4G","Projeto de fomento à cadeia produtiva arte visual"
"4H","Ações educativo-culturais"
"51","História"
"52","Arquitetônico"
"53","Arqueológico"
"54","Museu"
"55","Acervo"
"56","Acervos Museológicos"
"57","Cultura Afro Brasileira"
"58","Cultura Indígena"
"59","Artesanato/Folclore"
"5A","Preservação de Patrimônio Imaterial"
"5B","Manutenção de equipamentos culturais em geral"
"5C","Ações de capacitação"
"5D","Doações / aquisições de acervos culturais em geral"
"5E","Preservação de Patrimônio Material"
"5F","Restauração de Patrimônio Material"
"5G","Preservação de Patrimônio Museológico"
"5H","Restauração de Patrimônio Museológico"
"5I","Preservação de Acervos"
"5J","Restauração de Acervos"
"5K","Preservação de Acervos Museológicos"
"5L","Restauração de Acervos Museológicos"
"5M","Gastronomia"
"5N","Aquisição de equipamentos p/ manutenção de acervos"
"5O","Manutenção de salas de Teatro (<100 mil hab)"
"5P","Manu centro comunitário c/sl teatro (<100 mil hab)"
"5Q","Construção de equipamentos culturais em geral"
"5R","Construção de salas de teatro munic(< 100 mil hab)"
"5S","Identificação, registro, educação do patrimônio"
"5T","Ações document./pesquisa/digitaliz./sistem.-acervo"
"5U","Preserv./revitaliz./edificações destinada-acervos"
"5V","Ações segurança p/preservação patrimônio/acervos"
"5W","Planos anuais de preservação do patrimônio/acervos"
"5X","Ações educativo-culturais"
"5Y","Treinamento  pessoal/aquis.equip. p/manut. Acervos"
"5Z","Elaboração de projetos de arquitetura e urbanismo"
"61","Edição de Livros"
"62","Obras de Referência"
"63","História"
"64","Filosofia"
"65","Acervo Bibliográfico"
"66","Arquivo"
"67","Biblioteca"
"68","Evento Literário"
"69","Periódicos"
"6A","Ações de formação e capacitação"
"6B","Eventos e ações de incentivo à leitura"
"6C","Livros  ou obras de referência - valor Artístico"
"6D","Livros  ou obras de referência - valor Literário"
"6E","Livros ou  obras de referência - valor Humanístico"
"6F","Periódicos e outras publicações"
"6G","Treina pessoal p manuten de acervos bibliográficos"
"6H","Aquisiç equip p/manuten de acervos bibliográficos"
"6I","Doação de acervos acessíveis ao público em geral"
"6J","Impressos/eletrônicos-artístico, literário, human."
"6K","Aquis.acervos biblio.-artístico, literário, human."
"6L","Aquisi. arquivísticos-artístico, literário, human."
"6M","Manut. acervos biblio.artístico, literário, human."
"6N","Manut. acervos arquiv.artístico, literário, human."
"6O","Prese. acervos biblio.artístico, literário, human."
"6P","Prese. acervos arquiv.artístico, literário, human."
"6Q","Resta. acervos biblio.artístico, literário, human."
"6R","Resta. acervos arquiv.artístico, literário, human."
"6S","Treinamento-pessoal, demais ações de capacitação"
"6T","Aquis.equip. p/manut. acervos de bibliot. Públicas"
"6U","Aquisição equipamentos p/manut. acervos de museus"
"6V","Aquisição equip. p/manut. acervos arquivo públicos"
"6W","Aquisição equip. p/manut. acervos de cinematecas"
"6Y","Ações educativo-culturais"
"71","Artes Integradas"
"72","Restauração/Bolsas"
"73","Multimídia"
"74","Carnaval"
"75","Carnaval fora de época"
"76","Cultura Popular"
"77","Equipamentos culturais multifuncionais"
"81","Produção Cinematográfica"
"82","Produção de obras seriadas"
"83","Produção Televisiva"
"84","Produção Radiofônica"
"85","Distribuição Cinematográfica"
"86","Preservação/Restauração da Memória Cinematográfica"
"87","Difusão"
"88","Formação/Pesquisa e informação"
"89","Intercâmbio cultural"
"9A","Doação ou aquisição de acervos para museus"
"9B","Doação de acervos p/instit. preservação da memória"
"9C","Aquisição acervos p/instit. preservação da memória"
"9D","Preservação. Restauração, conservaçao, registro"
"9E","Identificação, registro e promoção"
"9F","Documentação e digitalização de acervos"
"9G","Sistemas de informações"
"9H","Ações de segurança para preservação de acervos"
"9I","Planos anuais de atividades e planos museológicos"
"9J","Exposições realizadas em museus"
"9K","Exposições organizadas com acervos de museus"
"9L","Exposições organizadas com museografia"
"9M","Pesquisa"
"9N","Ações educativs, seminários, congresso, palestras"
"9O","Criação projetos, construção, restauração, reforma"
"9P","Implan. projetos, construção, restauração, reforma"
"9Q","Espaços museais"
"9R","Treinamento de pessoal"
"9S","Aquisição de equipamentos p/preservação de acervos"
"9T","Aquisição de equipamentos p/manutenção de acervos"
